 TITLE,LastName,FirstName, SEX,Rtg_Nat
,ABUBO, Percival,,1564
,ABUBO, Wilson,,1792
,ABUBO, Wilson Jr.,,1727
,ABUCAY, Arianne Andrei,F,1563
,ABUCAY, Chaniel,,1420
,ABUCAY, Jennifer,,
,ABUCAY, Manuel Jr.,,1765
,ABUCAY, Marvie,,1836
,ABUCAYON, Gabriel Paolo,,1490
,ABUCEJO, Armel,,1934
,ABUCEJO, Arnold,,1901
,ABUCEJO, Fabio,,1927
,ABUCEJO, Francis Albert,,1764
,ABUCEJO, Gamaliel,,1902
,ABUCEJO, Jesse,,2047
,ABUCEJO, Jose Daniel,,1984
,ABUCEJO, Lanz Miguel,,1806
,ABUCEJO, Marc Gabriel,,1621
,ABUCEJO, Romeo Miguel,,1772
,ABUDA, Frances Nadine,F,1680
,ABUDA, Kim,,1862
,ABUDA, Reo,,1857
,ABUDANZA, Felino Jose,,1933
,ABUDE, Jhon Dave,,1713
,ABUEG, Carl Joshua,,1599
